count,type,codename,friendlyname,review
112,identifier,SetProps,set properties,
68,identifier,PropVal,property value,
64,identifier,PropVals,property values,
35,identifier,TextLoc,text location,
33,identifier,ActiveDoc,active document,
30,identifier,GetText,get text,
29,identifier,TextRange,text range,
26,identifier,GetNamedObject,get named object,
26,identifier,ParaLine,para line,
23,identifier,BookComponent,book component,
23,identifier,ElementDef,element definition,
23,identifier,FrameParent,frame parent,
19,identifier,FirstPgf,first paragraph,
19,identifier,NewNamedObject,new named object,
19,identifier,PgfTag,paragraph tag,
19,identifier,RunaroundGap,runaround gap,
18,identifier,MainFlowInDoc,main flow in document,
18,identifier,TblFormat,table format,
18,identifier,TextFrame,text frame,
17,identifier,NewGraphicObject,new graphic object,
17,identifier,UserString,user string,
16,identifier,FmtChangeList,format change list,
16,identifier,HotspotCmdStr,hotspot command string,
16,identifier,HotspotTitle,hotspot title,
16,identifier,IsHotspot,is hotspot,
16,identifier,NextGraphicInFrame,next graphic in frame,
16,identifier,PrevGraphicInFrame,previous graphic in frame,
15,identifier,ArrowBaseAngle,arrow base angle,
15,identifier,ArrowLength,arrow length,
15,identifier,ArrowScaleFactor,arrow scale factor,
15,identifier,ArrowScaleHead,arrow scale head,
15,identifier,ArrowTipAngle,arrow tip angle,
15,identifier,ArrowType,arrow type,
15,identifier,BorderWidth,border width,
15,identifier,CharFmt,character format,
15,identifier,GetTextForRange,get text for range,
15,identifier,GraphicCantBeSelected,graphic cant be selected,
15,identifier,GraphicIsSelected,graphic is selected,
15,identifier,GroupParent,group parent,
15,identifier,HeadArrow,head arrow,
15,identifier,LineCap,line cap,
15,identifier,MetricsT,metrics t,
15,identifier,NextGraphicInDoc,next graphic in document,
15,identifier,NextGraphicInGroup,next graphic in group,
15,identifier,NextSelectedGraphicInDoc,next selected graphic in document,
15,identifier,ObjectAttributes,object attributes,
15,identifier,PrevGraphicInGroup,previous graphic in group,
15,identifier,TailArrow,tail arrow,
15,identifier,TintPercent,tint percent,
14,identifier,BodyPage,body page,
14,identifier,FirstTextFrameInFlow,first text frame in flow,
14,identifier,PgfFmt,paragraph format,
14,identifier,PgfFont,paragraph font,
14,identifier,RulingFmt,ruling format,
